Temp(K),Mass(sun=1),Type_Encoded,end_Type_Encoded,Spec_Encoded,MMK_Encoded
7877.7773,68.15995634,7,3,0,2
7877.7773,28.67786578,7,3,0,2
7782.6562,46.79526891,7,3,0,2
7502.645,288.9692997,7,3,0,2
7118.4736,1.814417959,7,3,0,2
8102.857,5119.127255,7,3,0,2
8440.476,200.9430929,7,3,0,2
8341.176,246.1111552,7,3,0,6
8140.0684,56.81212638,7,3,0,6
8112.128,46.9967774,7,3,0,6
7966.2915,3223.908112,7,3,0,6
7966.2915,88.43152597,7,3,0,6
7860.3105,1572.087636,7,3,0,6
7623.656,73.78943246,7,3,0,6
7526.539,0.632401976,7,3,0,6
7455.31,8.209847989,7,3,0,6
7416.318,59.70261134,7,3,0,6
7339.5444,75.16378,7,3,0,6
6387.387,108.2600039,7,3,0,6
6112.0684,134.7976877,7,3,0,6
5626.9844,39.86139786,7,3,0,6
8011.299,85.05164585,7,3,0,6
7591.0063,14.01712124,7,3,0,6
8056.8184,635.1509745,1,0,0,6
4739.3047,433841.8431,8,2,0,4
8020.3613,283.8128044,7,3,0,6
7860.3105,262.4908942,7,3,0,6
7825.607,61.50231264,7,3,0,6
7816.9785,534.886016,7,3,0,6
7808.37,2049.267989,7,3,0,6
7774.122,144.3676117,7,3,0,6
7227.3184,63.25501001,7,3,0,6
6950.9805,51.17512504,7,3,0,6
5918.1973,1087.872795,7,3,0,6
6149.1763,11838.86773,6,3,0,0
7279.2607,85.06089199,6,3,0,1
7256.9087,20.9885418,6,3,0,1
7154.389,70.93792572,6,3,0,1
7681.473,286.4222188,7,3,0,2
7591.0063,96.33116172,7,3,0,2
7197.969,654.0565793,7,3,0,2
6950.9805,8.702640603,7,3,0,2
6817.308,28.19156111,7,3,0,2
7921.787,21.7238916,7,3,0,6
7656.5874,30.36972941,7,3,0,6
7463.1577,32.78319389,7,3,0,6
7408.5684,38.02478942,7,3,0,6
7264.3438,368.4828825,7,3,0,6
7168.8574,24.22696959,7,3,0,6
7125.628,87.74093884,7,3,0,6
7040.7153,9.531501703,7,3,0,6
6971.485,34.46507202,7,3,0,6
6638.576,6.104259634,7,3,0,6
5232.472,425.4808213,7,3,0,6
7463.1577,6.654314471,7,3,0,6
7966.2915,105.1262058,7,3,0,6
7161.616,20.55205196,7,3,0,2
6850.241,20.93874264,7,3,0,2
7047.7134,18.70719728,7,3,0,2
7111.3335,1874.864511,7,3,0,6
6950.9805,0.361532319,7,3,0,6
6910.331,0.762778266,7,3,0,6
6784.6885,13.25661254,7,3,0,6
7097.0967,15.1148155,6,3,0,1
6950.9805,14.61716768,6,3,0,1
6745.956,15.13540558,6,3,0,1
6758.818,7.968257195,7,3,0,1
7154.389,17.12228466,7,3,0,2
6999.0127,126.9024249,7,3,0,2
5658.42,4.091993723,7,3,0,2
6896.887,10.27426777,7,3,0,2
7526.539,54.98651472,7,3,0,6
7362.4087,12.89693066,7,3,0,6
7347.15,11.66823002,7,3,0,6
7324.38,618.9142242,7,3,0,6
7324.38,17.45978843,7,3,0,6
7256.9087,4.36234684,7,3,0,6
7154.389,140.7962323,7,3,0,6
7054.7266,680.3486933,7,3,0,6
6944.1724,10.07599586,7,3,0,6
6896.887,43.50069267,7,3,0,6
6765.2666,96.21930004,7,3,0,6
7047.7134,56.21697631,6,3,0,1
6739.5435,11.84532041,7,3,0,2
6930.596,30.84593048,7,3,0,6
6607.6426,1.194689027,7,3,0,6
6336.0146,13.95301756,7,3,0,6
6175.958,1.065637582,7,3,0,6
5806.716,61340.9708,8,2,0,4
6468.9785,3.407934959,6,3,0,0
7264.3438,1259.209893,6,3,0,1
6830.4434,21.04484034,6,3,0,1
6601.4897,94.52595635,6,3,0,1
6992.11,8.183700897,7,3,0,1
7234.694,39.31381063,7,3,0,2
6999.0127,52.59566266,7,3,0,2
6870.155,19.29107774,7,3,0,2
6752.3804,48.93647775,7,3,0,2
7234.694,57.43944166,7,3,0,2
6850.241,2.959711035,7,3,0,2
7591.0063,142.1009178,7,3,0,2
7082.917,49.91071237,7,3,0,2
7494.7144,1.961451982,7,3,0,6
7408.5684,36.69038681,7,3,0,6
7385.4165,29.939559,7,3,0,6
7324.38,76.45405368,7,3,0,6
7227.3184,23.15422411,7,3,0,6
7227.3184,67.12103705,7,3,0,6
7205.284,149.9656855,7,3,0,6
7205.284,8.428675317,7,3,0,6
7075.8477,191.0406832,7,3,0,6
7005.928,17.38244152,7,3,0,6
6985.2217,24.80274486,7,3,0,6
6930.596,3.4886493,7,3,0,6
6910.331,18.07357114,7,3,0,6
6883.495,13.81891333,7,3,0,6
6883.495,7.128127593,7,3,0,6
6870.155,124.4656362,7,3,0,6
6870.155,15.78137872,7,3,0,6
6856.866,7.546706943,7,3,0,6
6856.866,10.61427751,7,3,0,6
6830.4434,980.428044,7,3,0,6
6778.2026,11.47632874,7,3,0,6
6720.379,6.105237728,7,3,0,6
6701.3228,2.32677397,7,3,0,6
6595.3486,1.627551763,7,3,0,6
6564.8145,28.22473179,7,3,0,6
6564.8145,13.77813488,7,3,0,6
6552.68,7.624804932,7,3,0,6
6486.7334,38.43456368,7,3,0,6
6463.081,7.754617092,7,3,0,6
6341.6816,2.429996209,7,3,0,6
6319.073,13.58596113,7,3,0,6
7542.5527,261889.0327,0,3,1,1
7385.4165,1582154.192,0,3,1,1
6433.757,978686.3129,0,3,1,1
6274.3364,11717.23071,0,3,1,1
5835.3906,16745105.72,0,3,1,1
8112.128,392462.852,0,3,1,1
10014.124,6060520083,1,0,1,6
5137.6807,9.603288291,1,0,1,6
14648.76,43450.81013,1,0,1,6
6165.217,5712.480183,0,3,1,1
9089.743,1142.641228,1,0,1,2
10519.287,2351014.838,1,0,1,2
10582.089,166560.5377,0,3,1,0
7673.16,208.68441,0,3,1,1
